indexNCT04502056重复_由于各措施对应结局,nctid,outcome_description,participate_group_num,outcome_group_num,group_info,outcome,standard_outcome,standard_outcome_id,outcome_id,"checker (Manually add results if checker is empty,Manually filter if the number of checkers is greater than or equal to 2)",Time_Frame
190,NCT04335136,Lymphocyte Count,O1:88|O2:90|O1:82|O2:82|O1:85|O2:83|O1:82|O2:80|O1:81|O2:75|O1:77|O2:73|O1:37|O2:37,O1:1.13|O2:1.06|O1:1.25|O2:1.16|O1:1.45|O2:1.62|O1:1.74|O2:1.79|O1:1.70|O2:1.71|O1:2.28|O2:1.72,Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control),Lymphocyte Count,Lymphocyte Count,indicator_19,outcome_180,['Lymphocyte Count'],NA
191,NCT04335136,C-reactive Protein Levels,O1:88|O2:90|O1:77|O2:79|O1:80|O2:74|O1:78|O2:76|O1:74|O2:71|O1:69|O2:73|O1:36|O2:37,O1:56.0|O2:62.8|O1:36.1|O2:43.7|O1:21.7|O2:26.1|O1:13.9|O2:26.3|O1:15.8|O2:38.3|O1:4.9|O2:8.5,Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control),C-reactive Protein,CRP,indicator_1,outcome_181,['C-reactive Protein'],NA
192,NCT04335136,D-Dimer,O1:88|O2:90|O1:71|O2:73|O1:69|O2:74|O1:73|O2:68|O1:70|O2:66|O1:70|O2:66|O1:32|O2:31,O1:1341|O2:1187|O1:1109|O2:881|O1:1208|O2:1139|O1:988|O2:1219|O1:1015|O2:1013|O1:573|O2:685,Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control),D-dimer,D-dimer,indicator_51,outcome_182,['D-dimer'],NA
193,NCT04335136,Log-transformed Levels of LDH,O1:88|O2:90|O1:78|O2:77|O1:76|O2:76|O1:78|O2:74|O1:72|O2:74|O1:69|O2:71|O1:38|O2:38,O1:5.91|O2:5.87|O1:5.86|O2:5.88|O1:5.77|O2:5.75|O1:5.66|O2:5.67|O1:5.55|O2:5.52|O1:5.43|O2:5.50,Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control)|Group A (Active) APN01|Group B (Placebo Control),LDH,LDH,indicator_89,outcome_183,['LDH'],NA
194,NCT04331366,Oxygen Saturation by Pulse Oximetry,O1:2,O1:92|O1:93.5|O1:94|O1:94|O1:92.5,GO2 PEEP MOUTHPIECE,Oxygen Saturation,SpO2,indicator_17,outcome_184,"['Oxygen', 'Oxygen Saturation']",Time Frame: 28 days after randomization 
195,NCT04331366,Respiratory Rate,O1:2,O1:23.5|O1:20|O1:18|O1:17|O1:18.5,GO2 PEEP MOUTHPIECE,Respiratory Rate,Respiratory Rate,indicator_44,outcome_185,['Respiratory Rate'],Time Frame: Baseline to Day 29 
196,NCT04331366,Heart Rate,O1:2,O1:84.5|O1:87.5|O1:90.5|O1:86.5|O1:86.5,GO2 PEEP MOUTHPIECE,Heart Rate,Heart Rate,indicator_43,outcome_186,['Heart Rate'],Time Frame: Day 1 through Day 29 
197,NCT04331366,Blood Pressure,O1:2,O1:152.5|O1:65|O1:155|O1:72.5|O1:150|O1:70|O1:145|O1:67.5|O1:152.5|O1:65,GO2 PEEP MOUTHPIECE,Blood Pressure,Blood Pressure,indicator_45,outcome_187,['Blood Pressure'],Time Frame: Baseline 
198,NCT04331366,Count of Participants With Subjective Work of Breathing,O1:2|O1:0|O1:2|O1:2|O1:2|O1:0,O1:1|O1:0|O1:0,GO2 PEEP MOUTHPIECE|GO2 PEEP MOUTHPIECE|GO2 PEEP MOUTHPIECE|GO2 PEEP MOUTHPIECE|GO2 PEEP MOUTHPIECE|GO2 PEEP MOUTHPIECE,Subjective Work of Breathing,Breathing,indicator_94,outcome_188,['Subjective Work of Breathing'],Time Frame: Days 1 - 17. 
199,NCT04331899,Duration Until Viral Shedding Cessation,O1:60|O2:60,O1:7|O2:7,Lambda|Placebo,Viral Shedding,Viral Clearance,indicator_55,outcome_189,['Viral Shedding'],Time Frame: 0 to 24 hours post-dose 
200,NCT04331899,Change in Sars-CoV-2 Viral Load,O1:60|O2:60,O1:-4.3|O2:-4.9,Lambda|Placebo,Viral Load,Viral Load,indicator_95,outcome_190,['Viral Load'],Time Frame: Pre-SSI to 3-month follow-up 
201,NCT04331899,Area Under the Curve of SARS-COV-2 Viral Load,O1:60|O2:60,O1:28.5|O2:29.6,Lambda|Placebo,Viral Load,Viral Load,indicator_95,outcome_191,['Viral Load'],Time Frame: Pre-SSI to 3-month follow-up 
202,NCT04331899,Duration Until Resolution of Symptoms,O1:60|O2:60,O1:8|O2:9,Lambda|Placebo,Resolution of Symptoms,Resolution of Symptoms,indicator_96,outcome_192,"['Symptom', 'Resolution of Symptoms']","Time Frame: Baseline, Days 4, 7, 15, 21, and 29 "
203,NCT04331899,Count of Participants Requiring Emergency Department Visits or Hospitalizations Within 28 Days of Initiation of Treatment,O1:60|O2:60,O1:2|O2:2|O1:5|O2:3,Lambda|Placebo,hospitalization,Hospitalization,indicator_18,outcome_193,"['Hospitalization', 'hospitalization', 'Hospital']",Time Frame: Day 22 
204,NCT04292899,Part A: Percentage of Participants in Each Clinical Status Category as Assessed by a 7-Point Ordinal Scale on Day 14,O1:200|O2:197,O1:8.0|O2:10.7|O1:8.5|O2:16.8|O1:4.0|O2:5.1|O1:9.5|O2:7.6|O1:6.0|O2:6.1|O1:4.0|O2:1.5|O1:60.0|O2:52.3,Part A: Remdesivir (RDV) for 5 Days|Part A: Remdesivir for 10 Days,ordinal scale,Ordinal Scale,indicator_79,outcome_194,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: days 1, 5 and 14 "
205,NCT04292899,Part A: Percentage of Participants Who Experienced Treatment-Emergent Adverse Events (TEAEs),O1:200|O2:197,O1:71.5|O2:75.1,Part A: Remdesivir (RDV) for 5 Days|Part A: Remdesivir for 10 Days,Adverse Events,Adverse,indicator_10,outcome_195,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: Admission to discharge dates (approximately 4-14 days after admission). Discharge variables considered as the last available data before their death for the expired patients. 
206,NCT04292730,Part A: Percentage of Participants in Each Clinical Status Category as Assessed by a 7-Point Ordinal Scale on Day 11,O1:191|O2:193|O3:200,O1:0.0|O2:1.0|O3:2.0|O1:0.0|O2:0.5|O3:2.0|O1:2.6|O2:0.0|O3:3.5|O1:3.7|O2:6.2|O3:5.5|O1:19.9|O2:22.8|O3:23.0|O1:3.7|O2:4.7|O3:4.0|O1:70.2|O2:64.8|O3:60.0,Part A: Remdesivir for 5 Days|Part A: Remdesivir for 10 Days|Part A: SOC Therapy,ordinal scale,Ordinal Scale,indicator_79,outcome_196,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']",Time Frame: 14 days 
207,NCT04292730,Part A: Percentage of Participants Who Experienced Treatment-Emergent Adverse Events (TEAEs),O1:191|O2:193|O3:200,O1:51.3|O2:58.5|O3:46.5,Part A: Remdesivir for 5 Days|Part A: Remdesivir for 10 Days|Part A: SOC Therapy,Adverse Events,Adverse,indicator_10,outcome_197,"['Adverse Events', 'Adverse', 'Adverse Event']","Time Frame: The duration of hospitalization for the patients (admission to discharge dates, approximately 4-14 days after admission). The patients who died were excluded. "
208,NCT04320615,Clinical Status Assessed Using a 7-Category Ordinal Scale at Day 28 (Week 4),O1:294|O2:144,Tocilizumab (TCZ) mITT Arm|Placebo Modified Intent-to-Treat (mITT) Arm,NA,Ordinal Scale,Ordinal Scale,indicator_79,outcome_198,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']",NA
209,NCT04320615,"Time to Clinical Improvement (TTCI), Defined as a National Early Warning Score 2 (NEWS2) of </= 2 Maintained for 24 Hours",O1:294|O2:144,NA,NA,Improvement,Improvement,indicator_54,outcome_199,"['improvement', 'Improvement', 'National Early Warning Score 2']",NA
210,NCT04320615,Time to Improvement of at Least 2 Categories Relative to Baseline on a 7-Category Ordinal Scale of Clinical Status,O1:294|O2:144,NA,NA,Improvement,Improvement,indicator_54,outcome_200,"['Ordinal Scale', 'improvement', 'Improvement', 'Clinical Status', 'ordinal scale']",NA
211,NCT04320615,"Time to Hospital Discharge or ""Ready for Discharge""",O1:294|O2:144,NA,NA,discharge,Discharge,indicator_80,outcome_201,"['discharge', 'Discharge', 'Hospital']",NA
212,NCT04320615,Incidence of Mechanical Ventilation by Day 28,O1:294|O2:144|O3:183|O4:90,NA,NA,Mechanical Ventilation,Mechanical Ventilation,indicator_9,outcome_202,"['mechanical Ventilation', 'Mechanical Ventilation']",NA
213,NCT04320615,Ventilator-Free Days to Day 28,O1:294|O2:144,NA,NA,Ventilator-free,Ventilator-free,indicator_90,outcome_203,['Ventilator-free'],NA
214,NCT04320615,Incidence of Intensive Care Unit (ICU) Stay by Day 28 (Week 4),O1:294|O2:144|O3:127|O4:64,NA,NA,ICU,ICU,indicator_97,outcome_204,"['Intensive Care', 'ICU']",NA
215,NCT04320615,Duration of ICU Stay to Day 28 (Week 4),O1:294|O2:144,NA,NA,ICU,ICU,indicator_97,outcome_205,['ICU'],NA
216,NCT04320615,Clinical Status Assessed Using a 7-Category Ordinal Scale at Day 14,O1:294|O2:144,NA,NA,Ordinal Scale,Ordinal Scale,indicator_79,outcome_206,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']",NA
217,NCT04320615,Time to Clinical Failure to Day 28 (Week 4),O1:294|O2:144,NA,NA,Time,Time,indicator_98,outcome_207,[],NA
218,NCT04320615,Mortality Rate at Day 28 (Week 4),O1:294|O2:144,NA,NA,Mortality,Death ,indicator_16,outcome_208,"['Mortality Rate', 'Mortality']",NA
219,NCT04320615,Time to Recovery to Day 28 (Week 4),O1:294|O2:144,NA,NA,Recovery,Recovery,indicator_61,outcome_209,"['Recovery', 'Time to Recovery']",NA
220,NCT04320615,Duration of Supplemental Oxygen to Day 28 (Week 4),O1:294|O2:144,NA,NA,Oxygen,Oxygen,indicator_8,outcome_210,['Oxygen'],NA
221,NCT04401202,Percentage of Participants With Clinical Recovery Within 14 Days After Randomization,O1:87|O2:86,O1:54|O2:31,Nigella Sativa Oil|Control,Recovery,Recovery,indicator_61,outcome_211,['Recovery'],"Time Frame: Day 0 through Day 2, acute phase "
222,NCT04401202,The Number of Days to Recovery,O1:87|O2:86,O1:11|O2:14,Nigella Sativa Oil|Control,Recovery,Recovery,indicator_61,outcome_212,['Recovery'],"Time Frame: Day 1 through Day 15, chronic phase "
223,NCT04401202,Duration of Each Symptom,O1:87|O2:86,O1:8.5|O2:10.4|O1:2.5|O2:3.7|O1:3.5|O2:5.5|O1:2.1|O2:4.9,Nigella Sativa Oil|Control,Symptom,Symptom,indicator_99,outcome_213,['Symptom'],Time Frame: 14 days 
224,NCT04401202,Side Effects,O1:87|O2:86,O1:3|O2:0,Nigella Sativa Oil|Control,Effect,Effect,indicator_100,outcome_214,['Effect'],Time Frame: Day 1 through Day 29 
225,NCT04401202,Hospital Admission Due to Disease Complications,O1:87|O2:86,O1:0|O2:4,Nigella Sativa Oil|Control,Complication,Complication,indicator_101,outcome_215,"['Complication', 'Hospital']",Time Frame: 7 days 
226,NCT04435808,SARS-CoV-2 Infection,NA,NA,NA,Infect,Infect,indicator_84,outcome_216,['Infect'],NA
227,NCT04435808,Symptomatic vs. Asymptomatic Infection With SARS-CoV-2,NA,NA,NA,Symptom,Symptom,indicator_99,outcome_217,"['Symptom', 'Infect']",NA
228,NCT04435808,Occupational Health Exposure,NA,NA,NA,Health Exposure,Health Exposure,indicator_102,outcome_218,[],NA
229,NCT04435808,Impact of Hydroxychloroquine Use on Need for Hospitalization With SARS-CoV-2 Infection,NA,NA,NA,Hospitalization,Hospitalization,indicator_18,outcome_219,"['Hospitalization', 'Infect', 'hospitalization', 'Hospital']",NA
230,NCT04435808,Impact of Hydroxychloroquine Use on Need for ICU Care With SARS-CoV-2 Infection,NA,NA,NA,ICU,ICU,indicator_97,outcome_220,"['Infect', 'ICU']",NA
231,NCT04435808,Adverse Effect Profile of Hydroxychloroquine,NA,NA,NA,Adverse,Adverse,indicator_10,outcome_221,"['Effect', 'Adverse']",NA
232,NCT04435808,Seroconversion Following SARS-CoV-2 Infection,NA,NA,NA,Infect,Infect,indicator_84,outcome_222,['Infect'],NA
233,NCT04435808,Metagenomic Next Generation Sequencing of SARS-CoV-2 Isolates,NA,NA,NA,Sequencing,Sequencing,indicator_103,outcome_223,[],NA
234,NCT04338074,Hospitalization,O1:3|O2:2,O1:0|O2:0,Tranexamic Acid Treatment|Placebo Treatment,Hospitalization,Hospitalization,indicator_18,outcome_224,"['Hospitalization', 'hospitalization', 'Hospital']",NA
235,NCT04338074,NA,NA,NA,NA,nan,nan,indicator_104,outcome_225,['nan'],NA
236,NCT04358068,Number of Participants Who Died From Any Cause or Were Hospitalized,O1:7|O2:9,O1:0|O2:1,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Died,Death ,indicator_16,outcome_226,['Hospital'],NA
237,NCT04358068,Number of Participants Who Died From Any Cause,O1:7|O2:9,O1:0|O2:0,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Died,Death ,indicator_16,outcome_227,[],NA
238,NCT04358068,"Number of Participants Who Died From Any Cause, or Were Hospitalized, or Had an Urgent Visit to Emergency Room or Clinic",O1:7|O2:9,O1:1|O2:1,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Died,Death ,indicator_16,outcome_228,['Hospital'],NA
239,NCT04358068,Number of Participants Who Died From Any Cause or Were Hospitalized Through the End of Follow-up,O1:0|O2:0,NA,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Died,Death ,indicator_16,outcome_229,['Hospital'],NA
240,NCT04358068,Number of Participants Who Prematurely Discontinue Study Treatment Due to an Adverse Event,O1:7|O2:9,O1:0|O2:1,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Adverse,Adverse,indicator_10,outcome_230,"['Adverse', 'Adverse Event']",NA
241,NCT04358068,Number of Participants Who Had Any Cardiac Adverse Events,O1:7|O2:9,O1:0|O2:0,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Adverse,Adverse,indicator_10,outcome_231,"['Adverse Events', 'Adverse', 'Adverse Event']",NA
242,NCT04358068,Duration of Fever,O1:7|O2:8,O1:0|O2:0,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Fever ,Fever ,indicator_56,outcome_232,['Fever'],NA
243,NCT04358068,Duration of Symptoms Associated With COVID-19 Disease,O1:7|O2:9,O1:11.0|O2:10.0,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Symptom,Symptom,indicator_99,outcome_233,['Symptom'],NA
244,NCT04358068,Participant-specific Area Under the Curve (AUC) of the Symptom Score Associated With COVID-19 Disease Over Time,O1:7|O2:9,O1:4.0|O2:2.8,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Symptom,Symptom,indicator_99,outcome_234,['Symptom'],NA
245,NCT04358068,Time to Self-reported Return to Usual (Pre-COVID) Health.,O1:7|O2:9,O1:17.0|O2:10.0,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Time,Time,indicator_98,outcome_235,[],NA
246,NCT04358068,SARS-CoV-2 RNA Detection Status From Self-collected Nasal and Site-collected NP Swabs Among Subset,O1:0|O2:0,NA,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Detection,Detection ,indicator_105,outcome_236,['Detection'],NA
247,NCT04358068,SARS-CoV-2 RNA Level (Continuous) From Self-collected Nasal and Site-collected NP Swabs Among Subset,O1:0|O2:0,NA,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,RNA,RNA,indicator_91,outcome_237,[],NA
248,NCT04358068,Number of Participants With an Occurrence of Fainting,O1:7|O2:9,O1:1|O2:1,Arm A: Hydroxychloroquine (HCQ) and Azithromycin (Azithro)|Arm B: Placebo for Hydroxychloroquine and Azithromycin,Fainting,Fainting,indicator_106,outcome_238,[],NA
249,NCT04358081,Number of Participants Who Achieved Clinical Response by Day 15,O1:7|O2:7|O3:5,O1:7|O2:7|O3:4,Arm 1: Hydroxychloroquine + Aithromycin Placebo|Arm 2: Hydroxychloroquine + Azithromycin|Arm 3: Hydroxychloroquine Placebo + Azithromycin Placebo,Clinical Response,Clinical Response,indicator_46,outcome_239,['Clinical Response'],Time Frame: Baseline 
250,NCT04358081,Number of Participants Who Achieved Viral Clearance,O1:7|O2:7|O3:5,O1:2|O2:3|O3:3|O1:2|O2:3|O3:3,Arm 1: Hydroxychloroquine + Aithromycin Placebo|Arm 2: Hydroxychloroquine + Azithromycin|Arm 3: Hydroxychloroquine Placebo + Azithromycin Placebo,Viral Clearance,Viral Clearance,indicator_55,outcome_240,['Viral Clearance'],Time Frame: Pre-SSI 
251,NCT04358081,Number of Participants Discharged or Ready for Discharge,O1:7|O2:7|O3:5,O1:7|O2:7|O3:4,Arm 1: Hydroxychloroquine + Aithromycin Placebo|Arm 2: Hydroxychloroquine + Azithromycin|Arm 3: Hydroxychloroquine Placebo + Azithromycin Placebo,Discharge ,Discharge,indicator_80,outcome_241,"['discharge', 'Discharge']",Time Frame: Day 1 through Day 29 
252,NCT04358081,Time to Return to Pre-morbid Supplemental Oxygen Requirement in Participants Receiving Hydrochloroquine or Hydrochloroquine Plus Azithromycin Relative to Placebo,O1:7|O2:7|O3:5,O1:7|O2:6|O3:4,Arm 1: Hydroxychloroquine + Aithromycin Placebo|Arm 2: Hydroxychloroquine + Azithromycin|Arm 3: Hydroxychloroquine Placebo + Azithromycin Placebo,Oxygen,Oxygen,indicator_8,outcome_242,['Oxygen'],Time Frame: Enrollment to Day 28 
253,NCT04523831,Number of Patients With Early Clinical Improvement,O1:183|O2:180,O1:111|O2:80,Ivermectin Plus Doxycycline|Placebo,Improvement ,Improvement,indicator_54,outcome_243,"['improvement', 'Improvement']",Time Frame: Day 6 
254,NCT04523831,Number of Participants With Late Clinical Recovery,O1:183|O2:180,O1:42|O2:67,Ivermectin Plus Doxycycline|Placebo,Recovery,Recovery,indicator_61,outcome_244,['Recovery'],"Time Frame: Day 0 through Day 2, acute phasNumber of Incidents of Epistaxis, Chronic Phase|Time Frame: Day 1 through Day 15, chronic phase "
255,NCT04523831,Number of Patients Having Clinical Deterioration.,O1:183|O2:180,O1:16|O2:32,Ivermectin Plus Doxycycline|Placebo,Deterioration,Deterioration,indicator_107,outcome_245,['Deterioration'],Time Frame: Day 1 
256,NCT04523831,Number of Patients Remain Persistently Positive for RT-PCR of Covid-19,O1:183|O2:180,O1:14|O2:36,Ivermectin Plus Doxycycline|Placebo,RT-PCR,RT-PCR,indicator_85,outcome_246,"['Positive', 'RT-PCR']",Time Frame: Baseline to Day 29 
257,NCT04599959,Number of Participants Testing Positive or Negative for SARS-CoV-2 Virus From Swab and Saliva Samples - Processed in Mexico,O1:151|O2:103,O1:85|O2:13|O1:66|O2:89|O1:0|O2:1,Swab - Processed in Mexico|Saliva - Processed in Mexico,Positive,Positive,indicator_108,outcome_247,['Positive'],NA
258,NCT04599959,Percentage of Participants Testing True Positive or True Negative for SARS-CoV-2 Virus From Swab and Saliva Samples - Processed in Germany,O1:141|O1:69|O1:72,O1:52.2|O1:100.0,Swab+Saliva - Processed in Germany|Swab+Saliva - Processed in Germany|Swab+Saliva - Processed in Germany,Positive,Positive,indicator_108,outcome_248,['Positive'],NA
259,NCT04343092,Number of Cured Patients,O1:16,O1:16,IVM+HCQ+AZT Group,cure,cure,indicator_109,outcome_249,['cure'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 "
260,NCT04343092,Time to Cure of COVID-19 Patients in the IVM +HCQ+AZT Group,O1:16,O1:7.62,IVM+HCQ+AZT Group,cure,cure,indicator_109,outcome_250,['cure'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 "
261,NCT04362137,"Proportion of Patients Who Die, Develop Respiratory Failure [Require Mechanical Ventilation] or Require Intensive Care Unit (ICU) Care",O1:284|O2:144,O1:34|O2:17,Ruxolitinib 5 mg|Placebo,ICU,ICU,indicator_97,outcome_251,"['mechanical Ventilation', 'Mechanical Ventilation', 'Intensive Care', 'ICU']",NA
262,NCT04362137,Clinical Status,O1:287|O2:145|O1:286|O2:145|O1:280|O2:142|O1:278|O2:142,O1:3.7|O2:3.7|O1:1.8|O2:1.8|O1:1.1|O2:1.0,Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo,Clinical Status ,Clinical Status ,indicator_110,outcome_252,['Clinical Status'],Time Frame: Baseline 
263,NCT04362137,Percentage of Patients With at Least Two-point Improvement From Baseline in Clinical Status,O1:286|O2:145,O1:206|O2:108|O1:252|O2:129,Ruxolitinib 5 mg|Placebo,improvement,Improvement,indicator_54,outcome_253,"['improvement', 'Improvement', 'Clinical Status']",Time Frame: Day 14 
264,NCT04362137,Percentage of Patients With at Least One-point Improvement From Baseline in Clinical Status,O1:286|O2:145,O1:250|O2:128|O1:261|O2:136,Ruxolitinib 5 mg|Placebo,improvement,Improvement,indicator_54,outcome_254,"['improvement', 'Improvement', 'Clinical Status']",Time Frame: Day 14 
265,NCT04362137,Percentage of Patients With at Least One-point Deterioration From Baseline in Clinical Status,O1:286|O2:145,O1:16|O2:9|O1:14|O2:5,Ruxolitinib 5 mg|Placebo,Deterioration,Deterioration,indicator_107,outcome_255,"['Deterioration', 'Clinical Status']",Time Frame: Day 3 
266,NCT04362137,Time to Improvement in Clinical Status,O1:286|O2:145,O1:9.0|O2:9.0,Ruxolitinib 5 mg|Placebo,improvement,Improvement,indicator_54,outcome_256,"['improvement', 'Improvement', 'Clinical Status']",Time Frame: Day 14 
267,NCT04362137,Mean Change From Baseline in the Clinical Status,O1:287|O2:145|O1:280|O2:142|O1:278|O2:142,O1:-1.96|O2:-1.93|O1:-2.61|O2:-2.69,Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo,Mean Change,Mean Change,indicator_111,outcome_257,"['Clinical Status', 'Mean Change']",Time Frame: Day 1 - Day 29 
